학번     이름      국어   수학   영어   사회   국사   JAVA   C     컴퓨터구조

1115    오지윤     10     20     20     20     20     20     20     20     
1117    육지윤     50     50     50     50     50     50     50     50
1118    칠지윤     10     20     20     20     20     20     20     20     
1119    팔지윤     50     50     50     50     50     50     50     50
1110    구지윤     10     20     20     20     20     20     20     20     
1126    나지윤     50     50     50     50     50     50     50     50
1123    다지윤     10     20     20     20     20     20     20     20     
1126    라지윤     50     50     50     50     50     50     50     50
1126    바지윤     50     50     50     50     50     50     50     50
1126    아지윤     50     50     50     50     50     50     50     50
1126    카지윤     50     50     50     50     50     50     50     50

1116    이지윤     50     50     50     50     50     50     50     50
1208    고구마     40     80     90     40     50     40     50     60
1120    십지윤     50     50     50     50     50     50     50     50
1114    사지윤     50     50     50     50     70     50     70     50
